reaction	linear_coefficient
r_0058_REV	[0.017932358163980044, 0.015618306393828649, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014389888854167603]
r_0059	[0.010328428977658672, 0.010221515864409784, 0.012128155612885855, 0.01104384132181465, 0.008767042858441425, 0.008473064399985287]
r_0059_REV	[0.010328428977658672, 0.010221515864409784, 0.012128155612885855, 0.01104384132181465, 0.008767042858441425, 0.008473064399985287]
r_0060_EXP_1	[0.0020852314084165127, 0.0019132988651728365, 0.0018551147009777404, 0.001680663433143784, 0.0013421826229531291, 0.0012559361771345326]
r_0060_EXP_2	[0.009134006472727663, 0.009404896244826672, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014389888854167603]
r_0060_REV_EXP_1	[0.0020852314084165127, 0.0019132988651728365, 0.0018551147009777404, 0.001680663433143784, 0.0013421826229531291, 0.0012559361771345326]
r_0060_REV_EXP_2	[0.009134006472727663, 0.009404896244826672, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014389888854167603]
r_0061	[0.0012945573558565495, 0.0012564526494211977, 0.0011727044429156199, 0.0011692293467878124, 0.0008057858759026434, 0.0010784658109988582]
r_0062	[0.012095630718949209, 0.014180345759345323, 0.012257260256303037, 0.01263715520623133, 0.012126580379441856, 0.011933736539630944]
r_0062_REV	[0.012095630718949209, 0.014180345759345323, 0.012257260256303037, 0.01263715520623133, 0.012126580379441856, 0.011933736539630944]
r_0063	[0.0013954944689493108, 0.0012919578502726388, 0.0018551147009777404, 0.0018576983091900812, 0.002245587670617105, 0.0019658176416772304]
r_0063_REV	[0.0013954944689493108, 0.0012919578502726388, 0.0018551147009777404, 0.0018576983091900812, 0.002245587670617105, 0.0019658176416772304]
r_0064	[0.03529354161593485, 0.04350764166263456, 0.023065163262367936, 0.02030866650157089, 0.030279375555939857, 0.029680773153198284]
r_0065	[0.0048105334619210635, 0.004718209732436602, 0.00888209600696874, 0.009057116601739534, 0.0054075053374410195, 0.0053969113869669445]
r_0065_REV	[0.0048105334619210635, 0.004718209732436602, 0.00888209600696874, 0.009057116601739534, 0.0054075053374410195, 0.0053969113869669445]
r_0066	[0.0013954944689493108, 0.0012919578502726388, 0.0018551147009777404, 0.0018576983091900812, 0.002245587670617105, 0.0019658176416772304]
r_0066_REV	[0.0013954944689493108, 0.0012919578502726388, 0.0018551147009777404, 0.0018576983091900812, 0.002245587670617105, 0.0019658176416772304]
r_0067_EXP_1	[0.008747080872538754, 0.007753904405234704, 0.012128155612885855, 0.012106050578092428, 0.008117720480432949, 0.009567464991155294]
r_0067_EXP_2	[0.08746120623271052, 0.08272313600305022, 0.12380367216872713, 0.052666707734477666, 0.03567157443418415, 0.04021068154391516]
r_0068	[0.002875905460976476, 0.0029251970894388717, 0.002389976795134536, 0.002369132395546053, 0.00283844723314659, 0.0025573855287961446]
r_0069	[0.017932358163980044, 0.015618306393828649, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014389888854167603]
r_0070_EXP_1	[0.013625708005355555, 0.013434736541465079, 0.010412908207486492, 0.010611089402590363, 0.014228629500707626, 0.014389888854167603]
r_0070_EXP_2	[0.04511808729029694, 0.07130821392931229, 0.048185238167249275, 0.047395002536654574, 0.03567157443418415, 0.03450205143321742]
r_0070_EXP_3	[0.0014291401733135655, 0.0014339786536783975, 0.001283365565844613, 0.0013462642228341095, 0.0021608934473986087, 0.001995396036033176]
r_0070_EXP_4	[0.0018160657735024842, 0.0017002676600641957, 0.002814177766362341, 0.0026248494387240365, 0.002330281893835604, 0.0022320231908807405]
r_0070_EXP_5	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.01263715520623133, 0.02754092900520845, 0.026841247295027595]
r_0070_REV_EXP_1	[0.013625708005355555, 0.013434736541465079, 0.010412908207486492, 0.010611089402590363, 0.014228629500707626, 0.014389888854167603]
r_0070_REV_EXP_2	[0.04511808729029694, 0.07130821392931229, 0.048185238167249275, 0.047395002536654574, 0.03567157443418415, 0.03450205143321742]
r_0070_REV_EXP_3	[0.0014291401733135655, 0.0014339786536783975, 0.001283365565844613, 0.0013462642228341095, 0.0021608934473986087, 0.001995396036033176]
r_0070_REV_EXP_4	[0.0018160657735024842, 0.0017002676600641957, 0.002814177766362341, 0.0026248494387240365, 0.002330281893835604, 0.0022320231908807405]
r_0070_REV_EXP_5	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.01263715520623133, 0.02754092900520845, 0.026841247295027595]
r_0071	[0.0014291401733135655, 0.0013274630511240768, 0.001283365565844613, 0.0013265936810511864, 0.0014268768461716279, 0.0013446713602023683]
r_0072	[0.001361848764585059, 0.0012564526494211977, 0.0014493572502381027, 0.0016216518077950169, 0.0014833396616506247, 0.0017291904868296628]
r_0072_REV	[0.001361848764585059, 0.0012564526494211977, 0.0014493572502381027, 0.0016216518077950169, 0.0014833396616506247, 0.0017291904868296628]
r_0073	[0.01577903308466778, 0.014872697175948404, 0.013751185415844412, 0.014289480715996774, 0.014893258337912762, 0.014684527214733909]
r_0074	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.013405474225061324, 0.014159241736685781, 0.014389888854167603]
r_0074_REV	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.013405474225061324, 0.014159241736685781, 0.014389888854167603]
